comulative_averages	 uncertainty
0	0
0.998391	0.00237976
1.41336	0.0055869
1.7393	0.00680802
2.01733	0.0082974
2.25406	0.0092119
2.46902	0.010489
2.65998	0.0111824
2.84959	0.0129154
3.02815	0.0138561
3.18668	0.0147885
3.34343	0.0151343
3.49135	0.0157386
3.63089	0.0168159
3.76415	0.0169672
3.89263	0.0166023
4.02028	0.0167812
4.145	0.0166878
4.27554	0.0165644
4.39076	0.0177162
4.50065	0.0181843
4.60447	0.019115
4.71534	0.020312
4.82245	0.020874
4.93178	0.0216089
5.03468	0.0217977
5.12261	0.0218898
5.21585	0.0218601
5.30657	0.0214463
5.40934	0.021664
5.50491	0.0221578
5.60289	0.022145
5.69721	0.0225968
5.77974	0.0241764
5.86997	0.0247255
5.94357	0.0245793
6.03498	0.0246355
6.12261	0.0252965
6.20052	0.0263385
6.27647	0.0258039
6.3494	0.026546
6.43067	0.0266588
6.50839	0.0269276
6.57657	0.0277186
6.65231	0.0276648
6.71785	0.0266634
6.79063	0.0274508
6.85731	0.0286213
6.92983	0.0290072
6.99861	0.0283186
7.07154	0.0292685
7.14287	0.0289351
7.21565	0.0288725
7.28301	0.0290483
7.3513	0.0292333
7.4242	0.0300126
7.48801	0.0302998
7.54941	0.0314556
7.6129	0.0318171
7.68694	0.0326282
7.74961	0.0326409
7.80731	0.0342602
7.87127	0.0338279
7.9441	0.0353322
8.00844	0.0345302
8.07536	0.0336697
8.1405	0.0338314
8.20073	0.0344275
8.26644	0.033462
8.31953	0.0331052
8.37513	0.0351316
8.43492	0.0355274
8.50108	0.0359994
8.55397	0.0352204
8.60198	0.035428
8.66243	0.0364705
8.72594	0.0380115
8.7842	0.0380383
8.84557	0.0393257
8.89517	0.0400836
8.97158	0.0395556
9.01333	0.0397221
9.06606	0.0403188
9.12652	0.0409729
9.18781	0.0411851
9.24249	0.0415103
9.29955	0.0426853
9.35928	0.0416907
9.4213	0.0417667
9.46245	0.0422602
9.50484	0.0418317
9.56234	0.0414017
9.62043	0.0415285
9.67189	0.0416636
9.72441	0.0430554
9.77549	0.0431289
9.82385	0.0444967
9.8722	0.0455888
9.92023	0.0464289
9.97553	0.0469907
