0.666667	0.0140308	0.0171589	0.00641594
0.833333	0.0029032	0.00118763	0.00306638
1	0.0098724	0.000702676	0.00187196
1.16667	-0.0020852	-0.000851793	0.00110019
1.33333	0.0010024	-0.000566497	0.000788036
1.5	0.0041764	0.000310317	0.000694523
1.66667	0.0043656	0.000687434	0.00046682
1.83333	0.0035164	0.000533876	0.00039278
2	0.0008152	0.000651324	0.000346299
2.16667	0.0013604	0.000394276	0.000330339
2.33333	0.0011316	0.000331697	0.000307275
2.5	0.000726	0.000484166	0.00027394
2.66667	0.000116	0.000497448	0.000258322
2.83333	0.0006128	0.000434317	0.000251394
3	0.0010832	0.000349683	0.000241737
