best	 mean
1089.15	   1.1056e+03

760.961	   9.3174e+02

649.588	   7.8186e+02

567.948	   6.9100e+02

532.434	   6.1153e+02

506.582	   5.5674e+02

503.163	   5.2802e+02

483.221	   5.0879e+02

468.424	   4.9592e+02

468.424	   4.8381e+02

446.013	   4.7240e+02

430.352	   4.5862e+02

421.872	   4.4268e+02

420.371	   4.3018e+02

413.148	   4.2203e+02

404.619	   4.1670e+02

399.215	   4.1047e+02

399.215	   4.0538e+02

399.215	   4.0366e+02

389.562	   4.0094e+02

389.562	   3.9621e+02

381.173	   3.9164e+02

363.808	   3.8594e+02

362.617	   3.7532e+02

352.704	   3.6530e+02

352.704	   3.5888e+02

351.117	   3.5367e+02

349.813	   3.5202e+02

348.226	   3.5078e+02

348.226	   3.4972e+02

347.428	   3.4941e+02

347.428	   3.4875e+02

343.727	   3.4793e+02

343.003	   3.4631e+02

335.857	   3.4376e+02

335.819	   3.4030e+02

327.904	   3.3650e+02

326.485	   3.3202e+02

325.159	   3.2790e+02

322.969	   3.2658e+02

322.969	   3.2483e+02

317.583	   3.2283e+02

315.145	   3.2069e+02

315.145	   3.1832e+02

315.145	   3.1713e+02

308.663	   3.1593e+02

308.663	   3.1335e+02

308.663	   3.0988e+02

308.098	   3.0866e+02

308.098	   3.0866e+02

307.486	   3.0854e+02

307.486	   3.0830e+02

306.236	   3.0785e+02

306.236	   3.0733e+02

304.794	   3.0674e+02

304.794	   3.0599e+02

304.794	   3.0510e+02

304.794	   3.0506e+02

304.794	   3.0506e+02

302.932	   3.0492e+02

302.932	   3.0472e+02

302.932	   3.0454e+02

302.932	   3.0430e+02

302.932	   3.0397e+02

302.932	   3.0393e+02

302.041	   3.0367e+02

302.041	   3.0297e+02

302.041	   3.0228e+02

302.041	   3.0228e+02

302.041	   3.0228e+02

300.223	   3.0221e+02

300.223	   3.0204e+02

300.223	   3.0186e+02

300.223	   3.0186e+02

300.223	   3.0186e+02

300.223	   3.0186e+02

300.223	   3.0186e+02

300.223	   3.0186e+02

300.223	   3.0186e+02

299.672	   3.0185e+02

299.672	   3.0115e+02

299.672	   3.0013e+02

299.672	   2.9981e+02

299.672	   2.9981e+02

294.741	   2.9978e+02

294.741	   2.9973e+02

294.741	   2.9906e+02

294.741	   2.9699e+02

294.741	   2.9474e+02

294.741	   2.9474e+02

294.741	   2.9474e+02

294.741	   2.9474e+02

294.741	   2.9474e+02

294.696	   2.9474e+02

294.696	   2.9474e+02

294.696	   2.9474e+02

294.696	   2.9474e+02

294.696	   2.9474e+02

293.048	   2.9472e+02

293.048	   2.9470e+02

290.447	   2.9434e+02

288.754	   2.9295e+02

288.754	   2.9044e+02

288.326	   2.8875e+02

288.326	   2.8875e+02

288.326	   2.8875e+02

288.326	   2.8875e+02

288.326	   2.8875e+02

286.493	   2.8861e+02

285.826	   2.8795e+02

285.826	   2.8698e+02

285.826	   2.8649e+02

285.826	   2.8649e+02

285.826	   2.8649e+02

285.826	   2.8649e+02

285.826	   2.8649e+02

285.826	   2.8649e+02

285.826	   2.8649e+02

285.826	   2.8649e+02

285.826	   2.8649e+02

285.133	   2.8642e+02

285.133	   2.8622e+02

285.133	   2.8593e+02

285.133	   2.8582e+02

285.133	   2.8582e+02

285.133	   2.8582e+02

285.133	   2.8577e+02

285.133	   2.8568e+02

285.133	   2.8563e+02

285.133	   2.8560e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8557e+02

285.133	   2.8556e+02

285.133	   2.8554e+02

285.133	   2.8552e+02

285.133	   2.8552e+02

285.133	   2.8552e+02

285.133	   2.8552e+02

285.133	   2.8552e+02

285.133	   2.8552e+02

285.133	   2.8552e+02

285.133	   2.8552e+02

285.133	   2.8552e+02

284.871	   2.8549e+02

282.078	   2.8502e+02

282.078	   2.8362e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

282.078	   2.8208e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8207e+02

280.08	   2.8202e+02

