0.666667	0.550612	0.508626	0.0035284
0.833333	0.25762	0.255852	0.0017275
1	0.157935	0.146933	0.00142994
1.16667	0.0858012	0.0952784	0.000872276
1.33333	0.0671076	0.0666528	0.000766962
1.5	0.0557756	0.0506836	0.000516071
1.66667	0.0434112	0.0396495	0.000402559
1.83333	0.033622	0.0323667	0.000304476
2	0.0271332	0.0277377	0.000292625
2.16667	0.023366	0.0235312	0.000266988
2.33333	0.0205068	0.0200927	0.000348848
2.5	0.017338	0.0178756	0.000240171
2.66667	0.0152776	0.0161067	0.000307982
2.83333	0.0141688	0.014092	0.00020897
3	0.0122628	0.0128868	0.000200199
