               block cumulative_averages         uncertainty
                   1             1.47757                   0
                   2             1.49252            0.014953
                   3             1.49728          0.00985994
                   4             1.49851          0.00707863
                   5             1.50246          0.00675678
                   6             1.50078          0.00576562
                   7             1.49721           0.0060418
                   8             1.49762          0.00524832
                   9             1.49714          0.00465364
                  10             1.49927          0.00467777
                  11             1.49808          0.00439608
                  12             1.49925          0.00418183
                  13             1.49903          0.00385311
                  14             1.49871           0.0035815
                  15             1.49908          0.00335443
                  16             1.49955           0.0031729
                  17             1.49923          0.00299788
                  18             1.49897          0.00283849
                  19             1.49772          0.00295839
                  20             1.49733          0.00283374
                  21             1.49783          0.00274135
                  22             1.49849          0.00269603
                  23             1.49887          0.00260307
                  24             1.49846          0.00252508
                  25              1.4983          0.00242708
                  26             1.49801          0.00235073
                  27             1.49839          0.00229367
                  28             1.49879          0.00224702
                  29             1.49869          0.00217051
                  30              1.4984          0.00211712
                  31              1.4983          0.00205008
                  32             1.49827          0.00198513
                  33             1.49816          0.00192753
                  34              1.4981          0.00187081
                  35              1.4977          0.00186018
                  36             1.49768          0.00180793
                  37             1.49771          0.00175875
                  38             1.49787           0.0017186
                  39             1.49762          0.00169147
                  40             1.49746          0.00165699
                  41             1.49733          0.00162119
                  42             1.49743           0.0015854
                  43             1.49729          0.00155403
                  44             1.49741          0.00152273
                  45             1.49733          0.00149059
                  46             1.49754          0.00147224
                  47             1.49762          0.00144321
                  48             1.49761          0.00141293
                  49             1.49764          0.00138408
                  50             1.49751          0.00136216
                  51              1.4976          0.00133805
                  52             1.49761          0.00131214
                  53             1.49778          0.00129808
                  54              1.4981          0.00131351
                  55             1.49792           0.0013019
                  56             1.49793          0.00127851
                  57             1.49817          0.00127759
                  58             1.49829          0.00126159
                  59             1.49836          0.00124215
                  60             1.49843           0.0012233
                  61             1.49875          0.00124323
                  62             1.49871          0.00122374
                  63             1.49857           0.0012121
                  64             1.49885          0.00122537
                  65             1.49854          0.00124591
                  66             1.49845          0.00122962
                  67             1.49811          0.00125824
                  68             1.49832          0.00125708
                  69             1.49828          0.00123949
                  70             1.49843          0.00123143
                  71             1.49843          0.00121396
                  72             1.49848          0.00119781
                  73             1.49866          0.00119495
                  74             1.49859          0.00118054
                  75             1.49876          0.00117703
                  76             1.49871           0.0011627
                  77             1.49894          0.00117076
                  78             1.49898          0.00115633
                  79             1.49894          0.00114241
                  80             1.49903          0.00113179
                  81             1.49875          0.00115291
                  82             1.49881          0.00114087
                  83             1.49876          0.00112838
                  84               1.499           0.0011405
                  85              1.4993          0.00116566
                  86              1.4992          0.00115611
                  87             1.49919          0.00114278
                  88             1.49908          0.00113492
                  89              1.4988          0.00115737
                  90             1.49902          0.00116637
                  91             1.49887          0.00116312
                  92             1.49903           0.0011607
                  93             1.49889          0.00115676
                  94             1.49878          0.00114966
                  95             1.49886          0.00114033
                  96             1.49889          0.00112891
                  97             1.49884          0.00111828
                  98             1.49893          0.00110985
                  99              1.4989          0.00109884
                 100             1.49897          0.00108964
