               block cumulative_averages         uncertainty
                   1             5.00205                   0
                   2              5.0032          0.00114966
                   3             5.01151          0.00834126
                   4              5.0073          0.00724839
                   5             5.00769          0.00562852
                   6             5.00458          0.00555091
                   7              5.0066          0.00510841
                   8             4.99993          0.00800535
                   9             4.99871          0.00716473
                  10             4.99747          0.00652671
                  11             4.99406           0.0068189
                  12             4.99012          0.00736699
                  13             4.98977          0.00678561
                  14             4.98927          0.00630214
                  15             4.99114          0.00615709
                  16             4.99483          0.00684249
                  17             4.99416          0.00646295
                  18             4.99229          0.00637202
                  19             4.99293          0.00606116
                  20             4.99197          0.00583027
                  21             4.99118          0.00560137
                  22             4.99256          0.00551715
                  23             4.99331          0.00532377
                  24             4.99239          0.00517944
                  25             4.99352          0.00509621
                  26             4.99333           0.0048999
                  27             4.99223          0.00484342
                  28             4.99254          0.00467759
                  29              4.9918          0.00457248
                  30             4.99178          0.00441752
                  31             4.99266          0.00436324
                  32             4.99317           0.0042549
                  33             4.99293          0.00413086
                  34             4.99313           0.0040126
                  35             4.99333          0.00390114
                  36             4.99438          0.00393438
                  37             4.99382          0.00386719
                  38             4.99481          0.00389174
                  39             4.99409          0.00385744
                  40             4.99414          0.00376002
                  41             4.99452          0.00368721
                  42             4.99534          0.00369119
                  43             4.99591          0.00364894
                  44             4.99591          0.00356504
                  45             4.99601          0.00348639
                  46              4.9975          0.00372095
                  47             4.99756          0.00364142
                  48             4.99653          0.00371024
                  49             4.99672          0.00363859
                  50             4.99643          0.00357632
                  51             4.99617          0.00351582
                  52             4.99522          0.00357581
                  53             4.99424          0.00364238
                  54             4.99509          0.00367529
                  55             4.99531          0.00361443
                  56             4.99559           0.0035601
                  57             4.99605          0.00352809
                  58             4.99544          0.00351984
                  59             4.99428          0.00365132
                  60             4.99401          0.00359997
                  61             4.99326          0.00361803
                  62             4.99369          0.00358442
                  63             4.99381          0.00352925
                  64             4.99411          0.00348662
                  65              4.9949            0.003523
                  66             4.99434          0.00351424
                  67             4.99387          0.00349334
                  68             4.99364          0.00344937
                  69             4.99375          0.00340063
                  70             4.99332          0.00337867
                  71             4.99333          0.00333077
                  72             4.99361          0.00329641
                  73             4.99327          0.00326898
                  74             4.99333          0.00322506
                  75              4.9931           0.0031901
                  76             4.99382          0.00322843
                  77             4.99398          0.00319032
                  78             4.99382          0.00315308
                  79             4.99391          0.00311415
                  80             4.99425          0.00309331
                  81             4.99385          0.00308046
                  82             4.99408          0.00305124
                  83             4.99408          0.00301425
                  84             4.99404          0.00297847
                  85             4.99432          0.00295694
                  86             4.99439          0.00292321
                  87             4.99481          0.00292023
                  88             4.99477          0.00288719
                  89               4.995          0.00286368
                  90             4.99485          0.00283551
                  91             4.99458          0.00281762
                  92             4.99482          0.00279726
                  93             4.99511          0.00278275
                  94             4.99486          0.00276451
                  95             4.99515          0.00275014
                  96             4.99532          0.00272703
                  97              4.9956          0.00271323
                  98             4.99578          0.00269146
                  99             4.99575          0.00266428
                 100             4.99575          0.00263751
