   8.3953890151839516e-02   1.5925908364599550e-01
   9.3186545667389709e-01   7.5405159740593675e-01
   5.0185778669118264e-01   2.4283978748091073e-02
   6.8600576827466142e-01   3.6935072518337009e-01
   6.5195467042602928e-01   2.1385157033288138e-01
   6.7837995288623887e-01   9.8214482410941883e-02
   1.2095978427641541e-01   6.8013688235862801e-01
   5.7726914895393833e-01   8.4000485184838070e-01
   5.2760816160663637e-02   4.5350747561915128e-01
   7.6576389623311769e-01   9.7026697751131863e-01
   2.2610986566315461e-01   9.9461043695288609e-01
   9.1885539194574761e-01   9.3987545442222498e-01
   8.1328545364605276e-01   1.7942390426501476e-02
   1.3380385202997758e-01   5.3479525879726708e-02
   7.1342279028960576e-01   1.1177693158561297e-01
   9.8547520444193282e-01   3.9902176634079822e-01
   2.7275147163548041e-01   2.5136520666589846e-01
   5.3815026871506433e-01   2.8219253552983403e-01
   4.8152951835994173e-01   5.8852341462092284e-03
   2.1471822979096800e-01   1.7859064095649302e-02
   1.1425557821852550e-01   5.4852212120104937e-01
   2.5902796950668261e-01   1.4047659803198442e-01
   9.0226156038119854e-01   1.3589268747307770e-01
   2.3959605105707027e-01   8.3170271315912103e-01
   7.4877033071684451e-01   6.3911229813706782e-01
   2.0121823524697646e-01   1.5909783723374815e-01
   6.7493174698825698e-01   6.4217052465043167e-02
   3.9991171740646081e-01   3.2685831071124838e-01
   9.8645962688366495e-01   3.4322899802808493e-01
   4.3688718546348326e-01   2.8696102829105286e-02
   8.4576659483816030e-01   5.2646386928359235e-01
   5.7602268785202426e-01   8.5370470251216446e-01
   7.0166752068823968e-01   8.4805810759755573e-01
   2.7994453967971111e-01   9.3653684862001185e-01
