best	 mean
1014.3	   1.1041e+03

767.307	   9.1788e+02

725.574	   7.9226e+02

650.466	   7.3971e+02

619.145	   6.8398e+02

582.837	   6.3398e+02

540.55	   5.9646e+02

520.361	   5.6097e+02

494.741	   5.3540e+02

475.954	   5.1353e+02

459.344	   4.9014e+02

438.238	   4.7168e+02

432.204	   4.5380e+02

407.216	   4.3613e+02

398.965	   4.2113e+02

389.028	   4.0748e+02

380.537	   3.9659e+02

373.219	   3.8624e+02

364.265	   3.7964e+02

361.009	   3.7303e+02

352.093	   3.6592e+02

344.639	   3.5869e+02

340.777	   3.5188e+02

340.777	   3.4642e+02

336.929	   3.4327e+02

336.446	   3.4006e+02

334.726	   3.3757e+02

332.706	   3.3634e+02

330.986	   3.3519e+02

330.986	   3.3328e+02

330.986	   3.3246e+02

326.588	   3.3189e+02

317.71	   3.2858e+02

313.348	   3.2333e+02

310.507	   3.1745e+02

310.507	   3.1362e+02

308.974	   3.1166e+02

308.929	   3.1034e+02

308.929	   3.0910e+02

305.844	   3.0894e+02

305.844	   3.0858e+02

305.844	   3.0803e+02

305.844	   3.0773e+02

305.844	   3.0773e+02

305.844	   3.0773e+02

305.844	   3.0773e+02

304.321	   3.0756e+02

304.247	   3.0680e+02

303.456	   3.0535e+02

303.456	   3.0467e+02

303.456	   3.0424e+02

303.456	   3.0424e+02

303.456	   3.0424e+02

303.456	   3.0424e+02

303.456	   3.0424e+02

303.456	   3.0424e+02

300.829	   3.0423e+02

300.829	   3.0405e+02

300.829	   3.0347e+02

300.829	   3.0264e+02

300.829	   3.0240e+02

300.829	   3.0240e+02

300.829	   3.0240e+02

300.829	   3.0235e+02

300.829	   3.0208e+02

300.829	   3.0161e+02

300.829	   3.0125e+02

300.141	   3.0125e+02

295.993	   3.0081e+02

295.993	   2.9888e+02

295.993	   2.9666e+02

286.457	   2.9290e+02

286.457	   2.8903e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

286.457	   2.8718e+02

