comulative_averages	 uncertainty
5.66956	0
5.52005	0.149507
5.47696	0.0964769
5.46959	0.0686165
5.46725	0.0532015
5.46587	0.0434606
5.46376	0.0367918
5.47421	0.033534
5.48342	0.0309756
5.46461	0.0334886
5.47872	0.0334161
5.47466	0.0307738
5.47113	0.0285273
5.47016	0.026429
5.47105	0.0246202
5.47765	0.0239588
5.4915	0.026421
5.49493	0.0251456
5.49025	0.0242414
5.48924	0.0230196
5.49308	0.0222294
5.48642	0.0222161
5.48552	0.0212473
5.47986	0.0211142
5.47918	0.0202635
5.47572	0.0197738
5.47541	0.0190299
5.48096	0.0191583
5.48466	0.0188532
5.48312	0.0182784
5.48009	0.0179367
5.47475	0.0181718
5.47253	0.017752
5.47343	0.0172454
5.4756	0.0168864
5.4773	0.0164984
5.47748	0.0160473
5.47238	0.0164313
5.47468	0.0161695
5.47116	0.0161489
5.46451	0.0170956
5.45953	0.0174114
5.46469	0.0177662
5.46286	0.0174538
5.46118	0.0171442
5.46258	0.0168261
5.46385	0.0165132
5.46369	0.0161662
5.46041	0.0161689
5.46033	0.0158424
5.46172	0.0155906
5.46276	0.0153232
5.46215	0.0150437
5.46411	0.0148914
5.46633	0.0147868
5.46612	0.014522
5.4668	0.0142815
5.46529	0.0141149
5.46419	0.0139169
5.46417	0.013683
5.46333	0.0134835
5.4619	0.0133409
5.46211	0.0131291
5.46087	0.0129813
5.46029	0.0127933
5.45923	0.012642
5.45807	0.0125066
5.45603	0.0124887
5.45383	0.0125003
5.45458	0.0123429
5.45451	0.012168
5.45411	0.0120045
5.45508	0.0118785
5.45661	0.0118161
5.45704	0.0116658
5.45855	0.0116094
5.4576	0.0114968
5.45821	0.0113648
5.45693	0.0112934
5.45652	0.0111589
5.45751	0.0110647
5.45775	0.0109316
5.45755	0.010801
5.45718	0.0106778
5.45648	0.0105752
5.456	0.0104622
5.45645	0.0103509
5.45663	0.0102342
5.45814	0.01023
5.45829	0.0101169
5.45723	0.0100613
5.45903	0.010113
5.45895	0.010004
5.45854	0.00990574
5.45869	0.00980205
5.45973	0.00975599
5.45917	0.00967138
5.45838	0.00960456
5.45843	0.00950716
5.45789	0.00942696
