comulative_averages	 uncertainty
15.0412	0
15.05	0.00886269
15.0879	0.0382133
15.0852	0.0271525
15.0232	0.0655217
15.0105	0.0549739
14.9761	0.0578424
14.9249	0.0716359
14.9457	0.0665256
14.9403	0.0597507
14.9244	0.0563172
14.9222	0.051461
14.9229	0.0473425
14.9255	0.0439096
14.9348	0.0419141
14.9344	0.0392084
14.9405	0.0373336
14.9437	0.0353405
14.9365	0.0342025
14.9324	0.0327015
14.9343	0.031165
14.9504	0.033766
14.9511	0.0322731
14.9695	0.0359664
14.9762	0.03513
14.984	0.0346427
14.9947	0.035013
14.9974	0.0338482
14.997	0.0326628
15.0118	0.0348782
15.0131	0.0337599
15.0183	0.0330988
15.0223	0.0323189
15.0273	0.0317581
15.0246	0.0309592
15.0252	0.0300934
15.0214	0.0295078
15.0227	0.0287462
15.0199	0.0281318
15.0192	0.0274303
15.022	0.0269032
15.0132	0.0277027
15.0055	0.0281138
15.0034	0.0275511
15.0134	0.0287537
15.0182	0.0285197
15.0276	0.0294407
15.031	0.0290301
15.0316	0.0284363
15.0339	0.0279598
15.0342	0.027408
15.0309	0.0270742
15.0244	0.0273583
15.0191	0.0273599
15.0146	0.0272387
15.0114	0.0269397
15.0154	0.0267649
15.0162	0.0263125
15.0145	0.0259189
15.0104	0.0258087
15.0082	0.0254814
15.0077	0.0250711
15.0092	0.0247146
15.0049	0.0247096
15.0049	0.0243265
15.0051	0.0239559
15.009	0.0239081
15.0082	0.0235672
15.0085	0.0232251
15.0066	0.0229642
15.0095	0.0228167
15.0052	0.0228967
15.0018	0.0228315
15.0019	0.0225209
14.9962	0.0229247
14.9991	0.0227953
14.9958	0.0227289
14.9999	0.0227955
14.9996	0.0225064
14.9972	0.022358
14.9971	0.0220804
14.996	0.0218366
14.9984	0.0217008
15.0017	0.0216933
15.0047	0.0216467
15.0047	0.0213935
15.0034	0.0211864
15.0044	0.0209665
15.0028	0.0207862
15.0016	0.0205876
14.999	0.0205326
14.9993	0.0203099
14.9977	0.0201506
14.997	0.0199477
14.9948	0.0198565
14.9948	0.0196486
14.9935	0.019491
14.9902	0.0195625
14.9922	0.0194689
14.9964	0.0197065
