comulative_averages	 uncertainty
5.53682	0
5.56995	0.0331277
5.57377	0.0195052
5.53312	0.0429297
5.51702	0.0369461
5.50996	0.030982
5.50288	0.0271252
5.48737	0.0281451
5.50402	0.0298891
5.49074	0.0298527
5.49768	0.0278811
5.48825	0.0271449
5.48222	0.0256862
5.48557	0.024016
5.49963	0.0264081
5.49875	0.0247179
5.49485	0.0235444
5.48474	0.0243905
5.48781	0.0232745
5.48886	0.022105
5.48262	0.0219342
5.47772	0.0214783
5.47767	0.0205233
5.47439	0.0199219
5.47502	0.019119
5.47569	0.018381
5.47402	0.0177657
5.47665	0.0173211
5.47843	0.0168076
5.47301	0.0171204
5.47265	0.0165627
5.47331	0.0160502
5.47513	0.015662
5.48037	0.0160756
5.47851	0.01572
5.47803	0.0152848
5.47497	0.015178
5.47654	0.0148568
5.47576	0.014492
5.47451	0.0141803
5.47705	0.0140612
5.47583	0.0137761
5.47674	0.0134828
5.47661	0.0131735
5.47534	0.01294
5.47672	0.0127303
5.47411	0.0127256
5.47306	0.0125026
5.47238	0.0122636
5.47316	0.0120414
5.46923	0.0124398
5.47079	0.0122973
5.47296	0.0122575
5.47163	0.0121016
5.47284	0.0119413
5.47044	0.0119692
5.47159	0.0118128
5.47324	0.0117247
5.47197	0.0115949
5.47441	0.0116583
5.47608	0.0115876
5.4768	0.0114216
5.47711	0.011243
5.47828	0.0111285
5.47594	0.0112032
5.47614	0.0110339
5.47538	0.0108951
5.47833	0.0111326
5.47862	0.0109739
5.47981	0.010881
5.47708	0.0110674
5.47672	0.0109185
5.47829	0.0108815
5.47815	0.0107344
5.47804	0.0105909
5.4775	0.0104646
5.47604	0.0104305
5.47375	0.0105473
5.47238	0.0105027
5.47128	0.0104279
5.47087	0.0103068
5.46918	0.0103195
5.46949	0.0101991
5.46842	0.0101335
5.46842	0.0100135
5.46914	0.00992275
5.46877	0.00981538
5.46746	0.00978999
5.46551	0.00987533
5.46395	0.00988768
5.46445	0.00979085
5.46371	0.00971174
5.46458	0.00964592
5.46503	0.00955345
5.46619	0.00952354
5.46696	0.00945455
5.46749	0.00937207
5.46662	0.00931688
5.46625	0.00922962
5.46582	0.00914703
